stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:43:31376:0:1","Pernitz Augasse","47.90342375","15.95052212","3541","","","Level 0","1"
"at:43:31376:0:2","Pernitz Augasse","47.90334546","15.95047720","3541","","","Level 0","2"
"at:43:31377:0:1","Muggendorf Ort","47.91089067","15.93578076","3538","","","Level 0","1"
"at:43:31378:0:1","Thal/Muggendorf Karnerwirt","47.91936794","15.92914221","3538","","","Level 0","1"
"at:43:31378:0:2","Thal/Muggendorf Karnerwirt","47.91928365","15.92915120","3538","","","Level 0","2"
"at:43:3138:0:1","Baden Wiener Straße","48.01116804","16.24490902","3045","","","Level 0","1"
"at:43:3138:0:2","Baden Wiener Straße","48.01127621","16.24485512","3045","","","Level 0","2"
"at:43:31380:0:1","Thal/Muggendorf Vinzenzikircherl","47.92568284","15.90309107","3538","","","Level 0","1"
"at:43:31380:0:2","Thal/Muggendorf Vinzenzikircherl","47.92558050","15.90298327","3538","","","Level 0","2"
"at:43:31384:0:1","Muggendorf Myrafälle","47.91325698","15.93483753","3538","","","Level 0","1"
"at:43:31385:0:1","Pernitz Haltergraben","47.90081609","15.96563178","3541","","","Level 0","1"
"at:43:31385:0:2","Pernitz Haltergraben","47.90017169","15.96562280","3541","","","Level 0","2"
"at:43:31386:0:1","Thal/Muggendorf Rieglhof","47.91897059","15.92447996","3538","","","Level 0","1"
"at:43:31386:0:2","Thal/Muggendorf Rieglhof","47.91888029","15.92444402","3538","","","Level 0","2"
"at:43:3139:0:1","Baden Wimmergasse","48.00218891","16.25146672","3045","","","Level 0","1"
"at:43:31393:0:1","Totzenbach Am Bruckfeld","48.19473403","15.81520889","3435","","","Level 0","1"
"at:43:31393:0:2","Totzenbach Am Bruckfeld","48.19473403","15.81511905","3435","","","Level 0","2"
"at:43:31394:0:1","Totzenbach Bachgasse","48.19983571","15.81316073","3435","","","Level 0","1"
"at:43:31394:0:2","Totzenbach Bachgasse","48.19980577","15.81308886","3435","","","Level 0","2"
"at:43:31395:0:1","Totzenbach Volksschule","48.20412862","15.80835474","3435","","","Level 0","1"
"at:43:31396:0:1","Totzenbach Dir.-Sehnal-Gasse","48.20148226","15.81141800","3435","","","Level 0","1"
"at:43:31397:0:1","Fuchsberg Siedlung","48.21520951","15.81396921","3435","","","Level 0","1"
"at:43:31398:0:1","Senning/Kirchstetten Ort","48.21276725","15.82661749","3435","","","Level 0","1"
"at:43:31399:0:1","Doppel/Kirchstetten Abzw. Paltram","48.20505062","15.83266315","3435","","","Level 0","1"
"at:43:3140:0:1","Baumgarten/Reidling Landesstraße","48.32113790","15.83179179","3497","","","Level 0","1"
"at:43:3140:0:2","Baumgarten/Reidling Landesstraße","48.32100052","15.83237569","3497","","","Level 0","2"
"at:43:31400:0:1","Paltram","48.20090148","15.82362610","3435","","","Level 0","1"
"at:43:31401:0:1","Totzenbach Weißes Kreuz","48.20049434","15.81660127","3435","","","Level 0","1"
"at:43:31402:0:1","Totzenbach Schloss","48.20379334","15.81054663","3435","","","Level 0","1"
"at:43:31405:0:1","Kirchstetten/Neulengbach Sommerhofstr.","48.18860776","15.81402311","3435","","","Level 0","1"
"at:43:31407:0:1","Oberwolfsbach Ort","48.21430565","15.83445978","3435","","","Level 0","1"
"at:43:3141:0:1","Helenental Schulzheim","48.01983316","16.16823781","3053","","","Level 0","1"
"at:43:3141:0:2","Helenental Schulzheim","48.01936448","16.16686339","3053","","","Level 0","2"
"at:43:31412:0:1","Markersdorf/Neulengbach Ort","48.22108721","15.92608794","3441","","","Level 0","1"
"at:43:31413:0:1","Habersdorf/Neulengbach B19","48.23228411","15.92106636","3422","","","Level 0","1"
"at:43:31413:0:2","Habersdorf/Neulengbach B19","48.23271494","15.92150653","3422","","","Level 0","2"
"at:43:31413:0:3","Habersdorf/Neulengbach B19","48.23261321","15.92103043","3422","","","Level 0","3"
"at:43:31414:0:1","Inprugg Ort","48.21589188","15.91255931","3441","","","Level 0","1"
"at:43:31414:0:2","Inprugg Ort","48.21610138","15.91323305","3441","","","Level 0","2"
