url,title,location,raw_size,rooms,price_raw,size_m2,price_eur,osm_id,lat,lon
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/maisonnette-3-zimmer-in-der-donau-city-1751233305/,Maisonnette 3 Zimmer in der Donau City,"1220 Wien, 22. Bezirk, Donaustadt, Leonard-Bernstein-Straße 4-6",80,3,€ 1.580,80.0,1580.0,23328466,48.2349488,16.4104389
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/charmante-einzimmer-wohnung-in-ruhelage-1741499068/,Charmante Einzimmer Wohnung in Ruhelage,"1140 Wien, 14. Bezirk, Penzing, Kefergasse 22",36,1,€ 690,36.0,690.0,3014277934,48.1964023,16.2792969
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/stilvolle-2-zimmer-wohnung-mit-balkon-1648693055/,Stilvolle 2-Zimmer Wohnung mit Balkon,"1050 Wien, 05. Bezirk, Margareten, Wiedner Hauptstraße 140",43,2,"€ 1.113,90",43.0,1113.9,1369091970,48.1834869,16.3595383
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/erstbezug-nach-generalsanierung-elegante-3-zimmer-wohnung-naehe-alte-donau-1041262595/,Erstbezug nach Generalsanierung: Elegante 3-Zimmer Wohnung nähe alte Donau,"1210 Wien, 21. Bezirk, Floridsdorf, Mengergasse 36",85,3,€ 1.290,85.0,1290.0,2966327251,48.2562059,16.4092637
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/moderne-3-zimmer-balkonmiete-1906223957/,MODERNE 3-ZIMMER- BALKONMIETE,"1070 Wien, 07. Bezirk, Neubau",90,3,€ 1.995,90.0,1995.0,121143147,48.2051745,16.3475106
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/reserviert-moderne-2-zimmer-mietwohnung-mit-loggia-und-garten-in-bester-lage-1972966209/,RESERVIERT!!! Moderne 2 Zimmer Mietwohnung mit Loggia und Garten in bester Lage,"1230 Wien, 23. Bezirk, Liesing, Stipcakgasse",55,2,"€ 986,03",55.0,986.03,306849356,48.1358976,16.3207503
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/nachmieter-gesucht-loggiawohnung-in-zentraler-lage-1835858580/,Nachmieter gesucht - Loggiawohnung in zentraler Lage,"1200 Wien, 20. Bezirk, Brigittenau, Universumstraße",40,1,€ 779,40.0,779.0,157588718,48.2367128,16.3771753
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/schoene-3-zimmer-wohnung-im-gruenen-1374959303/,Schöne 3 Zimmer Wohnung im Grünen,"1130 Wien, 13. Bezirk, Hietzing",90,3,€ 1.595,90.0,1595.0,1990591,48.1785410,16.2529858
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/villen-etage-am-wilhelminenberg-mitten-in-der-natur-und-doch-in-der-stadt-1289350850/,Villen-Etage am Wilhelminenberg - mitten in der Natur und doch in der Stadt,"1160 Wien, 16. Bezirk, Ottakring, Zennergasse",117,3,€ 2.600,117.0,2600.0,29106420,48.2225421,16.3014737
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/nachmieter-gesucht-grosse-moderne-1-zimmerwohnung-ca-50qm2-mit-einbaukueche-einlagerungsraum-und-balkon-in-1120-wien-meidling-829-00-euro-893391997/,"NACHMIETER GESUCHT! GROßE, MODERNE 1- ZIMMERWOHNUNG (ca. 50qm2) MIT EINBAUKÜCHE, EINLAGERUNGSRAUM UND BALKON IN 1120 WIEN MEIDLING ~ 829,00 €","1120 Wien, 12. Bezirk, Meidling",50,1,€ 829,50.0,829.0,1990596,48.1719649,16.3286908
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/belvedere-naehe-3-zimmer-wohnug-mit-gruenblick-und-loggia-818934714/,Belvedere Nähe: 3 Zimmer Wohnug mit Grünblick und Loggia,"1030 Wien, 03. Bezirk, Landstraße, Aspangstraße",66,3,"€ 1.619,19",66.0,1619.19,100639254,48.1922964,16.3916674
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/charmante-sehr-gut-geschnittene-wohnung-ab-sofort-zu-vermieten-1204599858/,"charmante, sehr gut geschnittene Wohnung ab sofort zu vermieten","1170 Wien, 17. Bezirk, Hernals, Weißgasse",32,1,€ 870,32.0,870.0,11830819,48.2175583,16.3282909
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/charmante-2-zimmer-altbauwohnung-im-herzen-wiens-werdertorgasse-14-mit-95-50-m-1389959967/,"Charmante 2-Zimmer-Altbauwohnung im Herzen Wiens - Werdertorgasse 14 mit 95,50 m²","1010 Wien, 01. Bezirk, Innere Stadt, Werdertorgasse 14",95,2,"€ 2.111,86",95.0,2111.86,4015588698,48.2154510,16.3713768
